,input_number,input,input_ensg,ensg_number,ortholog_name,ortholog_ensg,description
870,1521,Kctd12,ENSMUSG00000098557,1521.1.1,KCTD12,ENSG00000178695,potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]
423,1522,Cyr61,ENSMUSG00000028195,1522.1.1,CCN1,ENSG00000142871,cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]
42,1523,Adgrl2,ENSMUSG00000028184,1523.1.1,ADGRL2,ENSG00000117114,adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]
1579,1524,Sbno1,ENSMUSG00000038095,1524.1.1,SBNO1,ENSG00000139697,strawberry notch homolog 1 [Source:HGNC Symbol;Acc:HGNC:22973]
1666,1525,Sltm,ENSMUSG00000032212,1525.1.1,SLTM,ENSG00000137776,SAFB like transcription modulator [Source:HGNC Symbol;Acc:HGNC:20709]
1260,1526,Pim3,ENSMUSG00000035828,1526.1.1,PIM3,ENSG00000198355,"Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]"
961,1527,Lysmd2,ENSMUSG00000032184,1527.1.1,LYSMD2,ENSG00000140280,LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]
530,1528,Eif4b,ENSMUSG00000058655,1528.1.1,EIF4B,ENSG00000063046,eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]
165,1529,AU021092,ENSMUSG00000051669,1529.1.1,C16orf89,ENSG00000153446,chromosome 16 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:28687]
328,1530,Cldnd1,ENSMUSG00000022744,1530.1.1,CLDND1,ENSG00000080822,claudin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1322]
559,1531,Epha4,ENSMUSG00000026235,1531.1.1,EPHA4,ENSG00000116106,EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]
543,1532,Eloc,ENSMUSG00000079658,1532.1.1,ELOC,ENSG00000154582,elongin C [Source:HGNC Symbol;Acc:HGNC:11617]
1730,1533,Srsf10,ENSMUSG00000028676,1533.1.1,SRSF10,ENSG00000188529,serine and arginine rich splicing factor 10 [Source:HGNC Symbol;Acc:HGNC:16713]
323,1534,Churc1,ENSMUSG00000090258,1534.1.1,CHURC1,ENSG00000258289,churchill domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20099]
1793,1535,Tcf3,ENSMUSG00000020167,1535.1.1,TCF3,ENSG00000071564,transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633]
470,1536,Dnajc7,ENSMUSG00000014195,1536.1.1,DNAJC7,ENSG00000168259,DnaJ heat shock protein family (Hsp40) member C7 [Source:HGNC Symbol;Acc:HGNC:12392]
1993,1537,Wac,ENSMUSG00000024283,1537.1.1,WAC,ENSG00000095787,WW domain containing adaptor with coiled-coil [Source:HGNC Symbol;Acc:HGNC:17327]
196,1538,Bola2,ENSMUSG00000047721,1538.1.2,BOLA2,ENSG00000183336,bolA family member 2 [Source:HGNC Symbol;Acc:HGNC:29488]
399,1539,Ctbp1,ENSMUSG00000037373,1539.1.1,CTBP1,ENSG00000159692,C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]
502,1540,Echs1,ENSMUSG00000025465,1540.1.1,ECHS1,ENSG00000127884,"enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]"
1239,1541,Pebp1,ENSMUSG00000032959,1541.1.1,N/A,N/A,N/A
1213,1542,Papola,ENSMUSG00000021111,1542.1.1,PAPOLA,ENSG00000090060,poly(A) polymerase alpha [Source:HGNC Symbol;Acc:HGNC:14981]
1264,1543,Pitpnb,ENSMUSG00000050017,1543.1.1,PITPNB,ENSG00000180957,phosphatidylinositol transfer protein beta [Source:HGNC Symbol;Acc:HGNC:9002]
1046,1544,Mrpl42,ENSMUSG00000062981,1544.1.1,MRPL42,ENSG00000198015,mitochondrial ribosomal protein L42 [Source:HGNC Symbol;Acc:HGNC:14493]
2042,1545,Zfp366,ENSMUSG00000050919,1545.1.1,ZNF366,ENSG00000178175,zinc finger protein 366 [Source:HGNC Symbol;Acc:HGNC:18316]
1961,1546,Ushbp1,ENSMUSG00000034911,1546.1.1,USHBP1,ENSG00000130307,USH1 protein network component harmonin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24058]
461,1547,Dnajb1,ENSMUSG00000005483,1547.1.1,DNAJB1,ENSG00000132002,DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]
763,1548,Hnrnpa1,ENSMUSG00000046434,1548.1.1,HNRNPA1,ENSG00000135486,heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]
169,1549,Axin2,ENSMUSG00000000142,1549.1.1,AXIN2,ENSG00000168646,axin 2 [Source:HGNC Symbol;Acc:HGNC:904]
1945,1550,Unc50,ENSMUSG00000026111,1550.1.1,UNC50,ENSG00000115446,unc-50 inner nuclear membrane RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16046]
1462,1551,Rnpepl1,ENSMUSG00000026269,1551.1.1,RNPEPL1,ENSG00000142327,arginyl aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:10079]
1802,1552,Tgm2,ENSMUSG00000037820,1552.1.1,TGM2,ENSG00000198959,transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]
1682,1553,Smim27,ENSMUSG00000028407,1553.1.1,N/A,N/A,N/A
141,1554,Atp5f1,ENSMUSG00000000563,1554.1.1,ATP5PB,ENSG00000116459,ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840]
10,1555,2410015M20Rik,ENSMUSG00000049760,1555.1.1,MICOS13,ENSG00000174917,mitochondrial contact site and cristae organizing system subunit 13 [Source:HGNC Symbol;Acc:HGNC:33702]
1450,1556,Rgs12,ENSMUSG00000029101,1556.1.1,RGS12,ENSG00000159788,regulator of G protein signaling 12 [Source:HGNC Symbol;Acc:HGNC:9994]
838,1557,Insig2,ENSMUSG00000003721,1557.1.1,INSIG2,ENSG00000125629,insulin induced gene 2 [Source:HGNC Symbol;Acc:HGNC:20452]
1358,1558,Psmd11,ENSMUSG00000017428,1558.1.1,PSMD11,ENSG00000108671,"proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]"
645,1559,Gata2,ENSMUSG00000015053,1559.1.1,GATA2,ENSG00000179348,GATA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4171]
106,1560,Arhgef2,ENSMUSG00000028059,1560.1.1,ARHGEF2,ENSG00000116584,Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]
178,1561,BC005537,ENSMUSG00000019132,1561.1.1,C6orf62,ENSG00000112308,chromosome 6 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:20998]
822,1562,Ifrd1,ENSMUSG00000001627,1562.1.1,IFRD1,ENSG00000006652,interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]
566,1563,Erp29,ENSMUSG00000029616,1563.1.1,ERP29,ENSG00000089248,endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]
266,1564,Ccz1,ENSMUSG00000029617,1564.1.1,CCZ1,ENSG00000122674,"CCZ1 homolog, vacuolar protein trafficking and biogenesis associated [Source:HGNC Symbol;Acc:HGNC:21691]"
267,1564,Ccz1,ENSMUSG00000029617,1564.1.2,CCZ1B,ENSG00000146574,"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated [Source:HGNC Symbol;Acc:HGNC:21717]"
909,1565,Larp7,ENSMUSG00000027968,1565.1.1,LARP7,ENSG00000174720,La ribonucleoprotein domain family member 7 [Source:HGNC Symbol;Acc:HGNC:24912]
1890,1566,Trir,ENSMUSG00000041203,1566.1.1,TRIR,ENSG00000123144,telomerase RNA component interacting RNase [Source:HGNC Symbol;Acc:HGNC:28424]
1344,1567,Psma2,ENSMUSG00000015671,1567.1.1,PSMA2,ENSG00000106588,proteasome subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]
1345,1567,Psma2,ENSMUSG00000015671,1567.1.2,AC010132.3,ENSG00000256646,novel PSMA2 and C7orf25 readthrough
1410,1568,Ran,ENSMUSG00000029430,1568.1.1,RAN,ENSG00000132341,"RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]"
421,1569,Cyba,ENSMUSG00000006519,1569.1.1,CYBA,ENSG00000051523,cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]
1931,1570,Ube2l3,ENSMUSG00000038965,1570.1.1,N/A,N/A,N/A
1694,1571,Socs3,ENSMUSG00000053113,1571.1.1,SOCS3,ENSG00000184557,suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]
945,1572,Lsm2,ENSMUSG00000007050,1572.1.1,LSM2,ENSG00000204392,"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]"
1242,1573,Pet100,ENSMUSG00000087687,1573.1.1,PET100,ENSG00000229833,PET100 homolog [Source:HGNC Symbol;Acc:HGNC:40038]
950,1574,Lsm7,ENSMUSG00000035215,1574.1.1,LSM7,ENSG00000130332,"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]"
1950,1575,Uqcc3,ENSMUSG00000071654,1575.1.1,UQCC3,ENSG00000204922,ubiquinol-cytochrome c reductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:34399]
53,1576,Ak3,ENSMUSG00000024782,1576.1.1,AK3,ENSG00000147853,adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]
639,1577,Gabarapl1,ENSMUSG00000030161,1577.1.1,GABARAPL1,ENSG00000139112,GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]
1048,1578,Mrps14,ENSMUSG00000058267,1578.1.1,MRPS14,ENSG00000120333,mitochondrial ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:14049]
544,1580,Elovl7,ENSMUSG00000021696,1580.1.1,ELOVL7,ENSG00000164181,ELOVL fatty acid elongase 7 [Source:HGNC Symbol;Acc:HGNC:26292]
1572,1581,Sar1a,ENSMUSG00000020088,1581.1.1,SAR1A,ENSG00000079332,secretion associated Ras related GTPase 1A [Source:HGNC Symbol;Acc:HGNC:10534]
507,1582,Eef1a1,ENSMUSG00000037742,1582.1.1,EEF1A1,ENSG00000156508,eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]
1355,1583,Psmb8,ENSMUSG00000024338,1583.1.1,PSMB8,ENSG00000204264,proteasome subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]
259,1584,Ccnd2,ENSMUSG00000000184,1584.1.1,CCND2,ENSG00000118971,cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]
260,1584,Ccnd2,ENSMUSG00000000184,1584.1.2,AC008012.1,ENSG00000285901,novel transcript
915,1585,Ldlrad3,ENSMUSG00000048058,1585.1.1,LDLRAD3,ENSG00000179241,low density lipoprotein receptor class A domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27046]
1944,1586,Ufm1,ENSMUSG00000027746,1586.1.1,UFM1,ENSG00000120686,ubiquitin fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597]
1929,1587,Ube2j2,ENSMUSG00000023286,1587.1.1,UBE2J2,ENSG00000160087,ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]
620,1588,Foxn3,ENSMUSG00000033713,1588.1.1,FOXN3,ENSG00000053254,forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]
801,1589,Hspe1,ENSMUSG00000073676,1589.1.1,HSPE1,ENSG00000115541,heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]
1139,1590,Ndufs4,ENSMUSG00000021764,1590.1.1,NDUFS4,ENSG00000164258,NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]
1386,1591,Pxk,ENSMUSG00000033885,1591.1.1,PXK,ENSG00000168297,PX domain containing serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:23326]
455,1592,Derl1,ENSMUSG00000022365,1592.1.1,DERL1,ENSG00000136986,derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]
1011,1593,Midn,ENSMUSG00000035621,1593.1.1,MIDN,ENSG00000167470,midnolin [Source:HGNC Symbol;Acc:HGNC:16298]
998,1594,Mea1,ENSMUSG00000002768,1594.1.1,MEA1,ENSG00000124733,male-enhanced antigen 1 [Source:HGNC Symbol;Acc:HGNC:6986]
943,1595,Lrrn3,ENSMUSG00000036295,1595.1.1,LRRN3,ENSG00000173114,leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]
113,1596,Arl2,ENSMUSG00000024944,1596.1.1,ARL2,ENSG00000213465,ADP ribosylation factor like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:693]
114,1596,Arl2,ENSMUSG00000024944,1596.1.2,ARL2-SNX15,ENSG00000273003,ARL2-SNX15 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49197]
1912,1597,Txndc9,ENSMUSG00000058407,1597.1.1,TXNDC9,ENSG00000115514,thioredoxin domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24110]
524,1598,Eif3g,ENSMUSG00000070319,1598.1.1,EIF3G,ENSG00000130811,eukaryotic translation initiation factor 3 subunit G [Source:HGNC Symbol;Acc:HGNC:3274]
61,1599,Aktip,ENSMUSG00000031667,1599.1.1,AKTIP,ENSG00000166971,AKT interacting protein [Source:HGNC Symbol;Acc:HGNC:16710]
1978,1600,Vbp1,ENSMUSG00000031197,1600.1.1,VBP1,ENSG00000155959,VHL binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12662]
156,1601,Atp6v1f,ENSMUSG00000004285,1601.1.1,ATP6V1F,ENSG00000128524,ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832]
1699,1602,Sox13,ENSMUSG00000070643,1602.1.1,SOX13,ENSG00000143842,SRY-box 13 [Source:HGNC Symbol;Acc:HGNC:11192]
440,1603,Ddc,ENSMUSG00000020182,1603.1.1,DDC,ENSG00000132437,dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]
712,1604,Gtpbp4,ENSMUSG00000021149,1604.1.1,GTPBP4,ENSG00000107937,GTP binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21535]
534,1605,Eif4g3,ENSMUSG00000028760,1605.1.1,EIF4G3,ENSG00000075151,eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]
681,1606,Gnaq,ENSMUSG00000024639,1606.1.1,N/A,N/A,N/A
362,1607,Copz2,ENSMUSG00000018672,1607.1.1,COPZ2,ENSG00000005243,coatomer protein complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]
419,1608,Cyb5a,ENSMUSG00000024646,1608.1.1,CYB5A,ENSG00000166347,cytochrome b5 type A [Source:HGNC Symbol;Acc:HGNC:2570]
13,1609,2900097C17Rik,ENSMUSG00000102869,1609.1.1,N/A,N/A,N/A
1889,1610,Trip12,ENSMUSG00000026219,1610.1.1,TRIP12,ENSG00000153827,thyroid hormone receptor interactor 12 [Source:HGNC Symbol;Acc:HGNC:12306]
1511,1611,Rplp2,ENSMUSG00000025508,1611.1.1,RPLP2,ENSG00000177600,ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]
1150,1612,Nemf,ENSMUSG00000020982,1612.1.1,NEMF,ENSG00000165525,nuclear export mediator factor [Source:HGNC Symbol;Acc:HGNC:10663]
1422,1613,Rasgrp2,ENSMUSG00000032946,1613.1.1,RASGRP2,ENSG00000068831,RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]
1423,1613,Rasgrp2,ENSMUSG00000106685,1613.2.1,N/A,N/A,N/A
1796,1614,Tcp1,ENSMUSG00000068039,1614.1.1,TCP1,ENSG00000120438,t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]
1846,1615,Tmem258,ENSMUSG00000036372,1615.1.1,TMEM258,ENSG00000134825,transmembrane protein 258 [Source:HGNC Symbol;Acc:HGNC:1164]
26,1616,Acadm,ENSMUSG00000062908,1616.1.1,ACADM,ENSG00000117054,acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]
783,1617,Hnrnpul1,ENSMUSG00000040725,1617.1.1,HNRNPUL1,ENSG00000105323,heterogeneous nuclear ribonucleoprotein U like 1 [Source:HGNC Symbol;Acc:HGNC:17011]
1960,1618,Usf2,ENSMUSG00000058239,1618.1.1,USF2,ENSG00000105698,"upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]"
120,1619,Arpc5,ENSMUSG00000008475,1619.1.1,ARPC5,ENSG00000162704,actin related protein 2/3 complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:708]
855,1620,Itpripl2,ENSMUSG00000095115,1620.1.1,ITPRIPL2,ENSG00000205730,ITPRIP like 2 [Source:HGNC Symbol;Acc:HGNC:27257]
77,1621,Ankrd37,ENSMUSG00000050914,1621.1.1,ANKRD37,ENSG00000186352,ankyrin repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:29593]
304,1622,Cetn2,ENSMUSG00000031347,1622.1.1,CETN2,ENSG00000147400,centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]
155,1623,Atp6v1e1,ENSMUSG00000019210,1623.1.1,N/A,N/A,N/A
732,1624,Hcfc1r1,ENSMUSG00000023904,1624.1.1,HCFC1R1,ENSG00000103145,host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]
379,1625,Cpne8,ENSMUSG00000052560,1625.1.1,CPNE8,ENSG00000139117,copine 8 [Source:HGNC Symbol;Acc:HGNC:23498]
1597,1626,Selenot,ENSMUSG00000075700,1626.1.1,SELENOT,ENSG00000198843,selenoprotein T [Source:HGNC Symbol;Acc:HGNC:18136]
1932,1627,Ube2n,ENSMUSG00000074781,1627.1.1,N/A,N/A,N/A
391,1628,Csnk1g2,ENSMUSG00000003345,1628.1.1,CSNK1G2,ENSG00000133275,casein kinase 1 gamma 2 [Source:HGNC Symbol;Acc:HGNC:2455]
966,1629,Malat1,ENSMUSG00000092341,1629.1.1,MALAT1,ENSG00000251562,N/A
944,1630,Lsm14a,ENSMUSG00000066568,1630.1.1,LSM14A,ENSG00000257103,"LSM14A, mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]"
234,1631,Capg,ENSMUSG00000056737,1631.1.1,CAPG,ENSG00000042493,"capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]"
138,1632,Atp5c1,ENSMUSG00000025781,1632.1.1,ATP5F1C,ENSG00000165629,ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]
512,1633,Efna1,ENSMUSG00000027954,1633.1.1,EFNA1,ENSG00000169242,ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]
159,1634,Atpif1,ENSMUSG00000054428,1634.1.1,ATP5IF1,ENSG00000130770,ATP synthase inhibitory factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:871]
142,1635,Atp5g1,ENSMUSG00000006057,1635.1.1,ATP5MC1,ENSG00000159199,N/A
903,1636,Lamp2,ENSMUSG00000016534,1636.1.1,LAMP2,ENSG00000005893,lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]
1778,1637,Taf7,ENSMUSG00000051316,1637.1.1,TAF7,ENSG00000178913,TATA-box binding protein associated factor 7 [Source:HGNC Symbol;Acc:HGNC:11541]
550,1638,Emg1,ENSMUSG00000004268,1638.1.1,EMG1,ENSG00000126749,"EMG1, N1-specific pseudouridine methyltransferase [Source:HGNC Symbol;Acc:HGNC:16912]"
1220,1639,Pcif1,ENSMUSG00000039849,1639.1.1,PCIF1,ENSG00000100982,PDX1 C-terminal inhibiting factor 1 [Source:HGNC Symbol;Acc:HGNC:16200]
1076,1640,Mtpn,ENSMUSG00000029840,1640.1.1,MTPN,ENSG00000105887,myotrophin [Source:HGNC Symbol;Acc:HGNC:15667]
296,1641,Ceacam1,ENSMUSG00000074272,1641.1.1,N/A,N/A,N/A
303,1642,Cers4,ENSMUSG00000008206,1642.1.1,CERS4,ENSG00000090661,ceramide synthase 4 [Source:HGNC Symbol;Acc:HGNC:23747]
1378,1643,Ptprm,ENSMUSG00000033278,1643.1.1,PTPRM,ENSG00000173482,"protein tyrosine phosphatase, receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]"
1582,1644,Scarb1,ENSMUSG00000037936,1644.1.1,SCARB1,ENSG00000073060,scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]
289,1645,Cdk17,ENSMUSG00000020015,1645.1.1,CDK17,ENSG00000059758,cyclin dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]
826,1646,Ikbkb,ENSMUSG00000031537,1646.1.1,IKBKB,ENSG00000104365,inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]
722,1647,H2afy,ENSMUSG00000015937,1647.1.1,H2AFY,ENSG00000113648,H2A histone family member Y [Source:HGNC Symbol;Acc:HGNC:4740]
1329,1648,Prickle1,ENSMUSG00000036158,1648.1.1,PRICKLE1,ENSG00000139174,prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]
1360,1649,Psmd6,ENSMUSG00000021737,1649.1.1,PSMD6,ENSG00000163636,"proteasome 26S subunit, non-ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9564]"
230,1650,Camk2d,ENSMUSG00000053819,1650.1.1,N/A,N/A,N/A
777,1651,Hnrnpl,ENSMUSG00000015165,1651.1.1,HNRNPL,ENSG00000104824,heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:HGNC:5045]
778,1651,Hnrnpl,ENSMUSG00000015165,1651.1.2,AC008982.1,ENSG00000268083,novel protein
219,1652,Cadm1,ENSMUSG00000032076,1652.1.1,CADM1,ENSG00000182985,cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]
1922,1653,Ubc,ENSMUSG00000008348,1653.1.1,UBC,ENSG00000150991,ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]
951,1654,Lsm8,ENSMUSG00000044155,1654.1.1,LSM8,ENSG00000128534,"LSM8 homolog, U6 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:20471]"
432,1655,Dazap1,ENSMUSG00000069565,1655.1.1,DAZAP1,ENSG00000071626,DAZ associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2683]
1102,1656,Napa,ENSMUSG00000006024,1656.1.1,NAPA,ENSG00000105402,NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641]
581,1657,Fam133b,ENSMUSG00000058503,1657.1.1,FAM133B,ENSG00000234545,family with sequence similarity 133 member B [Source:HGNC Symbol;Acc:HGNC:28629]
1225,1658,Pcnp,ENSMUSG00000071533,1658.1.1,PCNP,ENSG00000081154,PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]
1920,1659,Ubap2l,ENSMUSG00000042520,1659.1.1,UBAP2L,ENSG00000143569,ubiquitin associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:29877]
457,1660,Dhx30,ENSMUSG00000032480,1660.1.1,DHX30,ENSG00000132153,DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]
1429,1661,Rbbp6,ENSMUSG00000030779,1661.1.1,RBBP6,ENSG00000122257,"RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]"
406,1662,Ctnnbip1,ENSMUSG00000028988,1662.1.1,CTNNBIP1,ENSG00000178585,catenin beta interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16913]
1402,1663,Rack1,ENSMUSG00000020372,1663.1.1,RACK1,ENSG00000204628,receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]
11,1664,2510002D24Rik,ENSMUSG00000071632,1664.1.1,C22orf39,ENSG00000242259,chromosome 22 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:27012]
1886,1665,Trappc4,ENSMUSG00000032112,1665.1.1,TRAPPC4,ENSG00000196655,trafficking protein particle complex 4 [Source:HGNC Symbol;Acc:HGNC:19943]
1077,1666,Mtss1,ENSMUSG00000022353,1666.1.1,MTSS1,ENSG00000170873,"MTSS1, I-BAR domain containing [Source:HGNC Symbol;Acc:HGNC:20443]"
1156,1667,Nfe2l2,ENSMUSG00000015839,1667.1.1,NFE2L2,ENSG00000116044,"nuclear factor, erythroid 2 like 2 [Source:HGNC Symbol;Acc:HGNC:7782]"
1875,1668,Tpi1,ENSMUSG00000023456,1668.1.1,TPI1,ENSG00000111669,triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]
964,1669,Maf1,ENSMUSG00000022553,1669.1.1,MAF1,ENSG00000179632,"MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]"
2054,1670,Zkscan3,ENSMUSG00000021327,1670.1.1,ZKSCAN4,ENSG00000187626,zinc finger with KRAB and SCAN domains 4 [Source:HGNC Symbol;Acc:HGNC:13854]
211,1671,Bud31,ENSMUSG00000038722,1671.1.1,BUD31,ENSG00000106245,BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629]
946,1672,Lsm4,ENSMUSG00000031848,1672.1.1,LSM4,ENSG00000130520,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:NCBI gene;Acc:25804]"
947,1672,Lsm4,ENSMUSG00000110900,1672.2.1,N/A,N/A,N/A
1708,1673,Spr,ENSMUSG00000033735,1673.1.1,SPR,ENSG00000116096,sepiapterin reductase [Source:HGNC Symbol;Acc:HGNC:11257]
657,1674,Gclm,ENSMUSG00000028124,1674.1.1,GCLM,ENSG00000023909,glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]
1546,1675,Rrp1,ENSMUSG00000061032,1675.1.1,RRP1,ENSG00000160214,ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785]
568,1676,Esf1,ENSMUSG00000045624,1676.1.1,ESF1,ENSG00000089048,ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]
451,1677,Degs2,ENSMUSG00000021263,1677.1.1,DEGS2,ENSG00000168350,"delta 4-desaturase, sphingolipid 2 [Source:HGNC Symbol;Acc:HGNC:20113]"
803,1678,Icam2,ENSMUSG00000001029,1678.1.1,ICAM2,ENSG00000108622,intercellular adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:5345]
416,1679,Cuta,ENSMUSG00000024194,1679.1.1,CUTA,ENSG00000112514,cutA divalent cation tolerance homolog [Source:HGNC Symbol;Acc:HGNC:21101]
1807,1680,Thsd1,ENSMUSG00000031480,1680.1.1,THSD1,ENSG00000136114,thrombospondin type 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17754]
1902,1681,Ttc28,ENSMUSG00000033209,1681.1.1,TTC28,ENSG00000100154,tetratricopeptide repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29179]
1861,1682,Tnfrsf19,ENSMUSG00000060548,1682.1.1,TNFRSF19,ENSG00000127863,TNF receptor superfamily member 19 [Source:HGNC Symbol;Acc:HGNC:11915]
